Player,Rank_x,Rank_y
Le'Veon Bell,1.,2.0
Todd Gurley,2.,1.0
David Johnson,3.,4.0
Ezekiel Elliott,4.,3.0
Antonio Brown,5.,5.0
Saquon Barkley,6.,7.0
Alvin Kamara,7.,9.0
Julio Jones,8.,13.0
Odell Beckham,9.,12.0
DeAndre Hopkins,10.,6.0
Kareem Hunt,11.,8.0
Leonard Fournette,12.,11.0
Dalvin Cook,13.,14.0
Melvin Gordon,14.,10.0
Keenan Allen,15.,15.0
Michael Thomas,16.,16.0
Devonta Freeman,17.,24.0
A.J. Green,18.,17.0
Jordan Howard,19.,25.0
Rob Gronkowski,20.,19.0
Davante Adams,21.,18.0
Mike Evans,22.,20.0
Christian McCaffrey,23.,31.0
Larry Fitzgerald,24.,40.0
T.Y. Hilton,25.,21.0
Adam Thielen,26.,42.0
Doug Baldwin,27.,44.0
Stefon Diggs,28.,35.0
Travis Kelce,29.,22.0
Zach Ertz,30.,27.0
Tyreek Hill,31.,36.0
Allen Robinson,32.,41.0
Josh Gordon,33.,43.0
Alshon Jeffery,34.,54.0
Amari Cooper,35.,33.0
LeSean McCoy,36.,37.0
Jerick McKinnon,37.,23.0
Joe Mixon,38.,26.0
Demaryius Thomas,39.,32.0
Brandin Cooks,40.,75.0
Marvin Jones,41.,55.0
Golden Tate,42.,67.0
Kenyan Drake,43.,34.0
Royce Freeman,44.,51.0
Derrius Guice,45.,38.0
Ronald Jones,46.,50.0
Alex Collins,47.,30.0
Rashaad Penny,48.,39.0
Derrick Henry,49.,28.0
Jay Ajayi,50.,52.0
JuJu Smith-Schuster,51.,45.0
Robert Woods,52.,70.0
Jarvis Landry,53.,61.0
Emmanuel Sanders,54.,83.0
Marshawn Lynch,55.,64.0
Aaron Rodgers,56.,29.0
Tom Brady,57.,48.0
Sony Michel,58.,58.0
Isaiah Crowell,59.,89.0
Lamar Miller,60.,47.0
Tevin Coleman,61.,71.0
Corey Davis,62.,68.0
Pierre Garcon,63.,73.0
Devin Funchess,64.,107.0
Michael Crabtree,65.,60.0
Cam Newton,66.,84.0
Carson Wentz,67.,91.0
Russell Wilson,68.,88.0
Deshaun Watson,69.,76.0
Chris Hogan,70.,57.0
Sammy Watkins,71.,63.0
Kelvin Benjamin,72.,97.0
Will Fuller,73.,77.0
Kenny Stills,74.,85.0
Randall Cobb,75.,69.0
Josh Doctson,76.,134.0
Greg Olsen,77.,46.0
Delanie Walker,78.,86.0
Evan Engram,79.,95.0
Dion Lewis,80.,66.0
Robby Anderson,81.,82.0
Marquise Goodwin,82.,100.0
Rex Burkhead,83.,65.0
Jimmy Graham,84.,80.0
Kerryon Johnson,85.,53.0
Carlos Hyde,86.,90.0
Marlon Mack,87.,59.0
Cooper Kupp,88.,74.0
DeVante Parker,89.,87.0
Jordan Reed,90.,110.0
Sterling Shepard,91.,126.0
DeSean Jackson,92.,148.0
Julian Edelman,93.,62.0
Jamaal Williams,94.,56.0
Duke Johnson,95.,114.0
Tarik Cohen,96.,93.0
Mark Ingram,97.,49.0
Nick Chubb,98.,109.0
Kyle Rudolph,99.,92.0
Chris Thompson,100.,116.0
Jamison Crowder,101.,72.0
Rishard Matthews,102.,94.0
Kenny Golladay,103.,120.0
Allen Hurns,104.,102.0
Jordy Nelson,105.,111.0
Nelson Agholor,106.,99.0
Chris Carson,107.,123.0
C.J. Anderson,108.,103.0
Ty Montgomery,109.,115.0
Trey Burton,110.,78.0
David Njoku,111.,155.0
Giovani Bernard,112.,105.0
Latavius Murray,113.,156.0
Jordan Wilkins,114.,133.0
Marqise Lee,115.,106.0
Paul Richardson,116.,143.0
Andrew Luck,117.,79.0
Ben Roethlisberger,118.,101.0
Kirk Cousins,119.,119.0
Jack Doyle,120.,139.0
D.J. Moore,121.,
Cameron Meredith,122.,128.0
Mohamed Sanu,123.,158.0
Tyler Lockett,124.,117.0
Michael Gallup,125.,122.0
Calvin Ridley,126.,129.0
Matthew Stafford,127.,121.0
Drew Brees,128.,81.0
Jordan Matthews,129.,
Dez Bryant,130.,118.0
John Ross,131.,
Martavis Bryant,132.,166.0
Charles Clay,133.,178.0
Patrick Mahomes,134.,125.0
Philip Rivers,135.,144.0
George Kittle,136.,141.0
Jimmy Garoppolo,137.,127.0
Matt Ryan,138.,132.0
Alex Smith,139.,167.0
Marcus Mariota,140.,151.0
Danny Amendola,141.,159.0
Anthony Miller,142.,124.0
Zay Jones,143.,
James Washington,144.,
Donte Moncrief,145.,165.0
Mike Williams,146.,112.0
James White,147.,160.0
Theo Riddick,148.,176.0
Devontae Booker,149.,96.0
Nyheim Hines,150.,138.0
Doug Martin,151.,146.0
Matt Breida,152.,104.0
LeGarrette Blount,153.,131.0
Kenneth Dixon,154.,181.0
Aaron Jones,155.,108.0
Jaguars,156.,183.0
Tyler Eifert,157.,185.0
Christian Kirk,158.,173.0
Mike Wallace,159.,153.0
Terrelle Pryor,160.,
Darren Sproles,161.,
Dak Prescott,162.,175.0
Jared Goff,163.,147.0
Cameron Brate,164.,194.0
Chris Godwin,165.,
Austin Seferian-Jenkins,166.,191.0
Corey Clement,167.,113.0
Mitchell Trubisky,168.,169.0
John Brown,169.,164.0
Eagles,170.,
Rams,171.,186.0
Vikings,172.,200.0
Texans,173.,
Ravens,174.,
Greg Zuerlein,175.,
Stephen Gostkowski,176.,
Justin Tucker,177.,
Patriots,178.,
Chargers,179.,
Broncos,180.,
Saints,181.,
Titans,182.,
Panthers,183.,
Matt Bryant,184.,
Wil Lutz,185.,
Chris Boswell,186.,
Robbie Gould,187.,
Jake Elliott,188.,
Matt Prater,189.,
Harrison Butker,190.,
Adaminatieri,191.,
Graham Gano,192.,
Bilal Powell,193.,145.0
D'Onta Foreman,194.,130.0
Chris Ivory,195.,
Vance McDonald,196.,
Benjamin Watson,197.,168.0
Jared Cook,198.,199.0
Austin Ekeler,199.,177.0
Spencer Ware,200.,188.0
Chase Edmonds,201.,
Frank Gore,202.,182.0
Peyton Barber,203.,137.0
Elijah McGuire,204.,
Jonathan Stewart,205.,
Javorius Allen,206.,184.0
T.J. Yeldon,207.,192.0
John Kelly,208.,189.0
C.J. Prosise,209.,
O.J. Howard,210.,198.0
Eric Ebron,211.,180.0
Tyrod Taylor,212.,187.0
Albert Wilson,213.,174.0
Ted Ginn,214.,150.0
Terrance Williams,215.,
Willie Snead,216.,
Keelan Cole,217.,136.0
Tyrell Williams,218.,162.0
Andy Dalton,219.,
Ryan Tannehill,220.,
Redskins,221.,
Cardinals,222.,
Dan Bailey,223.,
Ryan Succop,224.,
Brandon Marshall,225.,154.0
Courtland Sutton,226.,
Deon Cain,227.,
Travis Benjamin,228.,
Adam Humphries,229.,
Quincy Enunwa,230.,142.0
Ryan Grant,231.,
Jermaine Kearse,232.,
Taywan Taylor,233.,171.0
Keke Coutee,234.,179.0
Corey Grant,235.,
Alfred Blue,236.,
Mark Walton,237.,
Tavon Austin,238.,
Charles Sims,239.,
Wayne Gallman,240.,
Joe Williams,241.,
James Conner,242.,190.0
Eli Manning,243.,140.0
Jameis Winston,244.,149.0
Derek Carr,245.,161.0
Austin Hooper,246.,
Ricky Seals-Jones,247.,152.0
Antonio Gates,248.,
Mike Gesicki,249.,
De'Angelo Henderson,250.,
D.J. Chark,251.,
Curtis Samuel,252.,
Falcons,253.,
Cowboys,254.,
Daniel Carlson,255.,
Mason Crosby,256.,
Ryan Griffin,257.,
Gerald Everett,258.,
Hayden Hurst,259.,197.0
Brandon LaFell,260.,
Kendall Wright,261.,
Taylor Gabriel,262.,
Dede Westbrook,263.,170.0
Kalen Ballage,264.,157.0
Terrance West,265.,
Case Keenum,266.,
Blake Bortles,267.,
Joe Flacco,268.,
Sam Bradford,269.,
Josh McCown,270.,
Trent Taylor,271.,196.0
Geronimo Allison,272.,135.0
Cole Beasley,273.,
J.J. Nelson,274.,
DaeSean Hamilton,275.,
Boston Scott,276.,
Jaylen Samuels,277.,
Damien Williams,278.,
T.J. Logan,279.,
Mike Gillislee,280.,
Jeremy Hill,281.,195.0
Rod Smith,282.,
Justin Jackson,283.,
Dante Pettis,284.,172.0
Packers,285.,
Bears,286.,
Josh Lambo,287.,
Dustin Hopkins,288.,
Jake Butt,289.,
Virgil Green,290.,
Vernon Davis,291.,
Tyler Kroft,292.,
Rico Gathers,293.,
Amara Darboh,294.,
Corey Coleman,295.,
AJ McCarron,296.,
Bengals,297.,
Lions,298.,
Chiefs,299.,
Seahawks,300.,
DJ Moore,,98.0
Chester Rogers,,163.0
Samaje Perine,,193.0
